Customer_Key,Recency,Frequency,Monetary,RFM_Score,Churn_Risk,Predicted_Risk_Label,Recommended_Intervention
(CHIKMAGALUR DISTERICT).     (N.R PUR THALUKU)_KARNATAKA,85,1,389.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
"(VIA CUNCOLIM)QUEPEM,SOUTH GOA_GOA",3,1,1163.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
",HYDERABAD_TELANGANA",69,1,563.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
",RAIBARELY ROAD FAIZABAD (AYODHYA)_UTTAR PRADESH",19,1,1122.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
..KATRA_JAMMU & KASHMIR,52,1,641.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
.AZAMGARH_UTTAR PRADESH,46,1,949.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
.GANNAVARAM_ANDHRA PRADESH,41,1,832.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
"116  B. P. M. B SARANI, UTTARPARA KOTRUNG_WEST BENGAL",57,1,655.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
1_UTTARAKHAND,19,1,533.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
6TH MILE TADONG_SIKKIM,87,1,698.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
7BARASAT_WEST BENGAL,77,2,931.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AALO_ARUNACHAL PRADESH,36,1,1099.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AAMBY VALLEY_MAHARASHTRA,1,7,3156.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
"ABHAYAPURI, BONGAIGAON_ASSAM",70,1,487.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ABHAYAPURI_ASSAM,24,2,1034.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ABOHAR_PUNJAB,13,5,3739.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
ABU ROAD_RAJASTHAN,5,10,7030.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
ABUROAD_RAJASTHAN,43,1,382.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ACHALPUR_MAHARASHTRA,27,1,464.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ACHAMPET_TELANGANA,3,9,7469.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
ACHANTA_ANDHRA PRADESH,23,2,891.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ACHARAPAKKAM_TAMIL NADU,39,1,523.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ACHHNERA_UTTAR PRADESH,58,1,1163.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
"ADAJAN GAM, SURAT_GUJARAT",17,1,486.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ADALAJ_GUJARAT,2,32,21838.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
ADAMBAKKAM_TAMIL NADU,80,1,575.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ADAMPUR_HARYANA,79,1,744.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ADAMPUR_PUNJAB,18,8,6680.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
"ADARSH NAGAR, JAIPUR_RAJASTHAN",9,1,511.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ADBHAR_CHHATTISGARH,73,3,1882.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
ADDAKAL_TELANGANA,71,1,442.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ADDANKI MANDAL BAPATL DISTRICT_ANDHRA PRADESH,42,1,459.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ADDANKI_ANDHRA PRADESH,26,10,5801.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
"ADDISION NAGAR, MANGADU_TAMIL NADU",59,1,352.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ADICHANALLOOR_KERALA,27,6,4301.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
ADILABAD_TELANGANA,7,16,8801.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
ADIMALY_KERALA,2,2,1496.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
ADINAD_KERALA,71,2,1306.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
"ADIPUR, GANDHIDHAM_GUJARAT",15,1,787.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ADIPUR_GUJARAT,20,1,735.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ADITYANA_GUJARAT,21,1,292.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ADITYAPUR/ JAMSHEDPUR_JHARKHAND,33,1,1349.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ADITYAPUR_JHARKHAND,23,1,735.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ADONI_ANDHRA PRADESH,17,15,10115.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
"ADOOR, VADDAKKEDATHU CAVU_KERALA",46,1,771.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
ADOOR_KERALA,25,11,8126.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
ADRA_WEST BENGAL,13,2,1264.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
ADYAL_MAHARASHTRA,83,1,1112.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AFZALGARH_UTTAR PRADESH,84,2,1708.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AGAR MALWA_MADHYA PRADESH,68,2,886.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
AGARPARA_WEST BENGAL,3,3,1835.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
